length_score,equation_score,reasoning_score,proof_score,case_score,steps_score,problem_type_score,domain_score,actual_difficulty,predicted_difficulty,absolute_error,problem_id,domain,problem_type,difficulty_label,error
18.6,42.8,19.7,34.2,32.800000000000004,36.65,90,78.0,34.555,36.32528750000005,1.7702875000000518,MATHNET-009s,Discrete Mathematics,proof and answer,Very Hard,1.7702875000000518
83.3,91.25,19.7,34.2,32.800000000000004,81.75,90,80.0,59.3725,60.67030000000009,1.2978000000000876,MATHNET-00hy,Discrete Mathematics | Geometry,proof only,Very Hard,1.2978000000000876
21.4,22.55,19.7,34.2,32.800000000000004,36.65,35,76.5,29.2525,30.570849999999965,1.3183499999999633,MATHNET-00k4,Geometry,proof only,Hard,1.3183499999999633
31.0,47.2,19.7,74.4,69.95,19.85,90,77.5,45.735,46.55031666666673,0.8153166666667317,MATHNET-00rl,Geometry,proof only,Very Hard,0.8153166666667317
87.3,80.30000000000001,80.25,89.25,93.3,87.5,90,81.0,85.5725,84.45206250000001,1.1204374999999942,MATHNET-00xp,Discrete Mathematics,proof and answer,Medium,-1.1204374999999942
24.55,18.85,19.7,34.2,32.800000000000004,62.5,90,75.0,34.587500000000006,33.207895833333374,1.3796041666666312,MATHNET-01l1,Discrete Mathematics,proof and answer,Medium,-1.3796041666666312
39.1,45.25,88.35,34.2,78.8,51.45,90,77.5,58.807500000000005,55.82388749999992,2.983612500000085,MATHNET-0217,Geometry,proof only,Very Hard,-2.983612500000085
17.65,26.9,19.7,34.2,32.800000000000004,36.65,90,75.0,31.83,32.68081250000002,0.8508125000000248,MATHNET-021o,Algebra,proof and answer,Medium,0.8508125000000248
18.9,14.05,19.7,34.2,32.800000000000004,19.85,55,80.0,26.9725,28.87086250000005,1.8983625000000508,MATHNET-03e9,Discrete Mathematics | Geometry,proof and answer,Very Hard,1.8983625000000508
73.15,74.45,72.6,89.25,78.8,71.0,90,76.5,77.01,75.21978750000001,1.7902124999999955,MATHNET-03nj,Geometry,proof only,Hard,-1.7902124999999955
44.0,52.45,80.25,34.2,69.95,71.0,90,78.0,60.3425,55.85418749999995,4.488312500000049,MATHNET-03qq,Discrete Mathematics,proof and answer,Very Hard,-4.488312500000049
96.5,96.85,98.85,99.75,98.55,97.3,100,78.0,97.04500000000002,94.34948749999998,2.695512500000035,MATHNET-04aq,Discrete Mathematics,proof and answer,Hard,-2.695512500000035
84.1,85.45,93.75,74.4,32.800000000000004,36.65,90,78.5,74.9175,77.76499999999999,2.8474999999999824,MATHNET-04u6,Geometry,proof only,Very Hard,2.8474999999999824
54.95,71.15,72.6,92.65,78.8,51.45,100,78.0,72.00500000000001,69.01298750000011,2.992012499999902,MATHNET-04xa,Geometry,proof only,Hard,-2.992012499999902
28.050000000000004,29.0,47.8,34.2,32.800000000000004,51.45,90,78.0,41.475,39.84925000000001,1.6257499999999894,MATHNET-051m,Geometry,proof and answer,Hard,-1.6257499999999894
48.9,71.15,19.7,34.2,32.800000000000004,77.35,100,78.0,49.4375,48.02833749999999,1.4091625000000079,MATHNET-05dg,Geometry,proof only,Very Hard,-1.4091625000000079
71.39999999999999,79.65,85.45,34.2,32.800000000000004,19.85,100,75.0,62.4625,65.68121250000004,3.218712500000045,MATHNET-05rp,Discrete Mathematics,proof and answer,Medium,3.218712500000045
52.900000000000006,68.4,72.6,74.4,78.8,62.5,90,78.0,69.05000000000001,67.00848750000004,2.0415124999999676,MATHNET-064l,Geometry,proof only,Hard,-2.0415124999999676
98.1,97.8,93.75,92.65,93.3,77.35,90,75.0,92.2525,94.0067999999999,1.7542999999999012,MATHNET-06au,Discrete Mathematics,proof and answer,Hard,1.7542999999999012
70.7,76.25,90.4,34.2,32.800000000000004,51.45,100,78.0,66.11250000000001,65.50779999999995,0.6047000000000651,MATHNET-06j5,Discrete Mathematics,proof and answer,Medium,-0.6047000000000651
58.45,65.0,47.8,34.2,32.800000000000004,19.85,90,78.0,49.795,52.28131250000001,2.486312500000011,MATHNET-06op,Algebra | Discrete Mathematics | Geometry,proof and answer,Very Hard,2.486312500000011
5.8500000000000005,6.4,19.7,34.2,32.800000000000004,5.8500000000000005,90,55.0,22.315,22.8975,0.5824999999999996,MATHNET-0710,Geometry,proof and answer,Very Hard,0.5824999999999996
56.7,35.55,47.8,34.2,32.800000000000004,19.85,100,75.0,45.3775,50.061262499999984,4.683762499999986,MATHNET-077h,Geometry,proof and answer,Very Hard,4.683762499999986
31.8,54.1,80.25,34.2,69.95,19.85,100,80.0,53.635000000000005,51.47507499999996,2.159925000000044,MATHNET-07d3,Algebra | Discrete Mathematics,proof and answer,Very Hard,-2.159925000000044
87.6,92.2,95.9,97.7,78.8,87.5,90,80.0,90.315,87.74768750000015,2.5673124999998436,MATHNET-07nk,Discrete Mathematics,proof and answer,Hard,-2.5673124999998436
86.7,74.45,19.7,34.2,32.800000000000004,51.45,100,75.0,54.7525,56.80976250000007,2.0572625000000713,MATHNET-0855,Geometry,proof and answer,Hard,2.0572625000000713
81.0,87.7,95.9,34.2,32.800000000000004,62.5,100,78.0,72.095,71.9759250000001,0.11907499999989568,MATHNET-08m2,Discrete Mathematics,proof and answer,Hard,-0.11907499999989568
24.35,47.2,47.8,34.2,69.95,51.45,90,81.0,47.33,46.61587083333335,0.7141291666666518,MATHNET-08yo,Discrete Mathematics,proof and answer,Hard,-0.7141291666666518
77.60000000000001,72.39999999999999,62.2,96.15,93.3,19.85,100,77.5,73.4325,73.60658333333336,0.1740833333333569,MATHNET-090w,Geometry,proof only,Medium,0.1740833333333569
26.9,22.55,47.8,34.2,32.800000000000004,51.45,90,79.0,40.3275,38.67932500000002,1.6481749999999806,MATHNET-090z,Geometry,proof and answer,Very Hard,-1.6481749999999806
62.6,50.74999999999999,19.7,34.2,32.800000000000004,71.0,90,75.0,47.8325,48.7837125,0.9512124999999969,MATHNET-095q,Geometry,proof and answer,Hard,0.9512124999999969
80.80000000000001,95.05,80.25,83.85000000000001,89.35,87.5,100,78.0,85.63000000000001,85.00425000000003,0.6257499999999823,MATHNET-09et,Algebra | Discrete Mathematics,proof and answer,Hard,-0.6257499999999823
35.8,37.9,19.7,83.85000000000001,85.45,36.65,90,82.0,50.1725,47.75708750000003,2.4154124999999667,MATHNET-09tk,Geometry,proof only,Medium,-2.4154124999999667
46.95,37.9,72.6,34.2,78.8,51.45,90,82.0,56.35,55.529512499999946,0.8204875000000555,MATHNET-0a6c,Algebra | Number Theory,proof and answer,Very Hard,-0.8204875000000555
50.24999999999999,24.35,47.8,34.2,32.800000000000004,77.35,90,76.5,47.7325,46.52207083333335,1.2104291666666498,MATHNET-0a7r,Geometry,proof only,Medium,-1.2104291666666498
56.00000000000001,33.4,47.8,34.2,78.8,77.35,90,78.5,54.94,55.92280833333335,0.9828083333333524,MATHNET-0akr,Geometry,proof only,Very Hard,0.9828083333333524
41.4,55.65,47.8,34.2,32.800000000000004,62.5,90,75.0,49.0975,46.42514583333332,2.672354166666679,MATHNET-0b1l,Discrete Mathematics,proof and answer,Medium,-2.672354166666679
39.5,47.2,47.8,74.4,89.35,87.5,90,78.5,61.81,53.248399999999926,8.561600000000077,MATHNET-0bzc,Geometry,proof only,Very Hard,-8.561600000000077
95.6,97.7,19.7,74.4,32.800000000000004,94.4,90,80.0,70.095,80.52154999999989,10.426549999999892,MATHNET-0cm5,Geometry,proof only,Very Hard,10.426549999999892
95.8,94.9,88.35,83.85000000000001,96.65,87.5,90,80.0,90.5575,90.37067499999998,0.18682500000002733,MATHNET-0cnn,Geometry,proof only,Hard,-0.18682500000002733
28.050000000000004,26.9,47.8,34.2,32.800000000000004,19.85,100,76.5,38.425,38.40442499999996,0.020575000000036425,MATHNET-0d1o,Discrete Mathematics,proof and answer,Hard,-0.020575000000036425
76.85,18.85,80.25,34.2,78.8,94.4,90,82.0,65.2975,64.91907083333342,0.378429166666578,MATHNET-0dnv,Discrete Mathematics,proof and answer,Medium,-0.378429166666578
77.10000000000001,79.65,19.7,34.2,32.800000000000004,19.85,90,77.5,50.0775,54.96074999999994,4.88324999999994,MATHNET-0dq2,Geometry,proof only,Hard,4.88324999999994
16.8,18.85,47.8,74.4,32.800000000000004,19.85,100,76.5,40.9975,40.72628750000004,0.27121249999996166,MATHNET-0dri,Discrete Mathematics,proof and answer,Hard,-0.27121249999996166
29.45,31.45,47.8,34.2,32.800000000000004,36.65,90,75.0,40.4925,39.38482500000002,1.107674999999979,MATHNET-0dxz,Geometry,proof only,Very Hard,-1.107674999999979
95.3,98.1,90.4,34.2,32.800000000000004,92.45,100,78.0,78.41000000000001,78.25239999999994,0.15760000000007324,MATHNET-0et0,Geometry,proof only,Hard,-0.15760000000007324
69.85,80.30000000000001,94.95,89.25,69.95,36.65,90,80.0,77.55250000000001,76.32985000000025,1.22264999999976,MATHNET-0eu5,Discrete Mathematics,proof and answer,Very Hard,-1.22264999999976
17.25,17.25,19.7,34.2,32.800000000000004,36.65,100,80.0,31.0525,31.473975000000017,0.4214750000000187,MATHNET-0f3f,Discrete Mathematics,proof and answer,Medium,0.4214750000000187
5.8500000000000005,6.4,19.7,34.2,32.800000000000004,5.8500000000000005,90,78.0,23.465000000000003,23.465000000000067,6.394884621840902e-14,MATHNET-0fg1,Geometry,proof only,Hard,6.394884621840902e-14
67.5,47.2,72.6,34.2,78.8,51.45,100,78.5,62.17999999999999,60.54995000000002,1.6300499999999758,MATHNET-0fv5,Discrete Mathematics,proof and answer,Medium,-1.6300499999999758
75.85,90.8,72.6,34.2,32.800000000000004,36.65,100,78.0,64.28500000000001,67.00755000000002,2.7225500000000125,MATHNET-0g7r,Discrete Mathematics,proof and answer,Easy,2.7225500000000125
12.4,17.25,47.8,34.2,32.800000000000004,36.65,55,78.0,33.3525,32.19246250000001,1.1600374999999872,MATHNET-0glc,Geometry,proof only,Very Hard,-1.1600374999999872
5.8500000000000005,6.4,19.7,34.2,32.800000000000004,5.8500000000000005,90,75.0,23.315,23.31499999999999,1.0658141036401503e-14,MATHNET-0gn8,Discrete Mathematics,proof and answer,Easy,-1.0658141036401503e-14
34.95,18.85,47.8,34.2,32.800000000000004,19.85,100,79.0,38.7225,39.62045000000001,0.8979500000000158,MATHNET-0h10,Geometry,proof only,Hard,0.8979500000000158
96.9,96.7,62.2,97.4,96.65,77.35,90,78.5,86.76,88.23932499999992,1.4793249999999176,MATHNET-0hsp,Geometry,proof and answer,Very Hard,1.4793249999999176
93.0,86.05000000000001,19.7,34.2,32.800000000000004,98.9,90,78.0,62.1475,61.173462500000056,0.9740374999999446,MATHNET-0l9s,Discrete Mathematics,proof and answer,Medium,-0.9740374999999446
28.9,37.9,62.2,34.2,32.800000000000004,19.85,90,80.0,42.8,45.19528750000004,2.3952875000000446,MATHNET-0lgk,Geometry,proof only,Hard,2.3952875000000446
98.5,99.0,98.0,98.55,99.8,92.45,90,82.0,96.7575,96.53801666666676,0.21948333333322978,MATHNET-00ac,Discrete Mathematics | Geometry,proof and answer,Very Hard,-0.21948333333322978
49.2,42.8,72.6,74.4,32.800000000000004,19.85,100,75.0,55.955,54.825987500000025,1.1290124999999733,MATHNET-00f5,Geometry,proof only,Hard,-1.1290124999999733
56.39999999999999,61.3,62.2,89.25,78.8,51.45,90,82.0,67.9275,67.06572500000001,0.8617749999999802,MATHNET-00ny,Discrete Mathematics | Geometry,proof and answer,Very Hard,-0.8617749999999802
33.2,29.0,62.2,34.2,32.800000000000004,19.85,90,76.5,42.150000000000006,44.415512500000006,2.2655125,MATHNET-00s2,Geometry,proof only,Hard,2.2655125
94.2,89.05,90.4,34.2,78.8,96.9,90,78.0,81.37750000000001,77.80746250000013,3.5700374999998843,MATHNET-0115,Discrete Mathematics,proof and answer,Hard,-3.5700374999998843
85.2,79.65,19.7,34.2,32.800000000000004,71.0,100,75.0,57.18750000000001,57.54970000000006,0.36220000000005115,MATHNET-01u2,Discrete Mathematics,proof and answer,Very Hard,0.36220000000005115
46.0,50.74999999999999,47.8,74.4,32.800000000000004,19.85,100,78.0,51.6975,50.65657500000004,1.0409249999999588,MATHNET-020e,Geometry,proof only,Very Hard,-1.0409249999999588
38.65,40.2,47.8,34.2,32.800000000000004,71.0,90,77.5,47.205,44.22079999999995,2.984200000000051,MATHNET-023i,Geometry,proof and answer,Medium,-2.984200000000051
59.6,68.4,72.6,34.2,32.800000000000004,19.85,90,76.5,55.42000000000001,60.53552083333332,5.1155208333333135,MATHNET-03bq,Geometry,proof and answer,Medium,5.1155208333333135
63.05,76.95,80.25,34.2,85.45,77.35,100,78.0,70.51250000000002,66.55571250000001,3.9567875000000043,MATHNET-03nf,Discrete Mathematics,proof and answer,Hard,-3.9567875000000043
15.95,15.25,19.7,34.2,32.800000000000004,36.65,90,82.0,30.0925,30.85383750000004,0.7613375000000389,MATHNET-0455,Geometry,proof only,Very Hard,0.7613375000000389
94.4,91.75,85.45,34.2,95.15,96.9,90,82.0,82.66749999999999,77.79198750000016,4.875512499999829,MATHNET-048d,Geometry,proof and answer,Medium,-4.875512499999829
99.1,98.8,99.7,99.9,89.35,99.7,100,81.0,97.52,96.09849166666676,1.421508333333236,MATHNET-04v9,Geometry,proof only,Very Hard,-1.421508333333236
