problem_id,source,competition,year,country,domain,subtopic,difficulty,difficulty_source,concepts,prerequisites,solution_depth,estimated_time_minutes,proof_required,reasoning_intensity,calculation_intensity,major_steps,problem_type,language,data_type,problem_text,final_answer,solution_length,solution_words,solution_paragraphs,equation_count,reasoning_indicators,proof_indicators,case_analysis,calculation_indicators,solution_major_steps
MATHNET-009s,MathNet,NATIONAL XXX OMA,,Argentina,Discrete Mathematics,Combinatorics,,unknown,"Coloring schemes, extremal arguments | Invariants / monovariants",,,,True,,,,proof and answer,,real,"Each cell of an $n \times n$ grid square is colored black or white. We call such a coloring *nice* if every $2 \times 2$ square covers an even number of black cells, and every cross covers an odd number of black cells. Find all $n \ge 3$ such that in each nice coloring the four corner cells have the same color.
![](attached_image_1.png)",n ≡ 1 (mod 3),2301,410,7,43,9,1,1,5,7
MATHNET-00hy,MathNet,APMO,,Asia Pacific Mathematics Olympiad (APMO),Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,,unknown,"Miscellaneous > Constructions and loci | Coloring schemes, extremal arguments | Invariants / monovariants",,,,True,,,,proof only,English,real,"There are $n$ line segments on the plane, no three intersecting at a point, and each pair intersecting once in their respective interiors. Tony and his $2 n-1$ friends each stand at a distinct endpoint of a line segment. Tony wishes to send Christmas presents to each of his friends as follows:
First, he chooses an endpoint of each segment as a ""sink"". Then he places the present at the endpoint of the segment he is at. The present moves as follows:
- If it is on a line segment, it moves towards the sink.
- When it reaches an intersection of two segments, it changes the line segment it travels on and starts moving towards the new sink.
If the present reaches an endpoint, the friend on that endpoint can receive their present. Prove Tony can send presents to exactly $n$ of his $2 n-1$ friends.",,6958,1219,26,98,6,5,7,0,20
MATHNET-00k4,MathNet,AustriaMO2013,,Austria,Geometry,Plane Geometry | Solid Geometry,,unknown,3D Shapes | Quadrilaterals > Cyclic quadrilaterals | Miscellaneous > Angle chasing,,,,True,,,,proof only,English,real,"Let $ABCDEF$ be a regular octahedron with lower vertex $E$, upper vertex $F$, middle slice plane $ABCD$, center $M$ and circumsphere $k$. Furthermore let $X$ be an arbitrary point within side $ABF$. The line $EX$ intersects $k$ in $E$ and $Z$ and the plane $ABCD$ in $Y$.
$$
\text{Show that } \langle EMZ \rangle = \langle EYF \rangle.
$$",,1222,209,3,38,4,0,0,0,3
MATHNET-00rl,MathNet,BMO 2016 Short List Final,,Balkan Mathematical Olympiad,Geometry,Plane Geometry,,unknown,"Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Quadrilaterals > Inscribed/circumscribed quadrilaterals | Circles > Tangents | Miscellaneous > Angle chasing",,,,True,,,,proof only,,real,"The point $M$ lies on the side $AB$ of the circumscribed quadrilateral $ABCD$. The points $I_1, I_2$, and $I_3$ are the incenters of $\triangle MBC$, $\triangle MCD$, and $\triangle MDA$. Show that the points $M, I_1, I_2$, and $I_3$ lie on a circle.
![](attached_image_1.png)",,2803,461,4,74,5,4,5,0,4
MATHNET-00xp,MathNet,Baltic Way 1993,,Baltic Way,Discrete Mathematics,Combinatorics,,unknown,"Coloring schemes, extremal arguments",,,,True,,,,proof and answer,,real,"Problem:

A square is divided into 16 equal squares, obtaining the set of 25 different vertices. What is the least number of vertices one must remove from this set, so that no 4 points of the remaining set are the vertices of any square with sides parallel to the sides of the initial square?",8,853,134,3,9,1,1,0,0,3
MATHNET-01l1,MathNet,60th Belarusian Mathematical Olympiad,,Belarus,Discrete Mathematics,Combinatorics,,unknown,Games / greedy algorithms | Invariants / monovariants,,,,True,,,,proof and answer,English,real,"Exactly one integer number is written in each cell of an $8 \times 8$ square table. Per move it is allowed to choose any $n \times n$ square, $1 < n < 8$, and either to increase by 1 or to decrease by 1 all numbers in the cells of the chosen square.
Is it possible to get the table with zeros in all its cells from the arbitrary initial table?
(V. Kaskevich)",Yes,1253,227,7,9,0,0,0,0,7
MATHNET-0217,MathNet,15th Benelux Mathematical Olympiad,,Benelux Mathematical Olympiad,Geometry,Plane Geometry,,unknown,"Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Quadrilaterals > Cyclic quadrilaterals | Circles > Tangents | Circles > Radical axis theorem | Advanced Configurations > Miquel point | Circles > Circle of Apollonius | Miscellaneous > Angle chasing",,,,True,,,,proof only,,real,"Problem:
Let $ABC$ be a triangle with incentre $I$ and circumcircle $\omega$. Let $N$ denote the second point of intersection of line $AI$ and $\omega$. The line through $I$ perpendicular to $AI$ intersects line $BC$, segment $[AB]$, and segment $[AC]$ at the points $D, E$, and $F$, respectively. The circumcircle of triangle $AEF$ meets $\omega$ again at $P$, and lines $PN$ and $BC$ intersect at $Q$. Prove that lines $IQ$ and $DN$ intersect on $\omega$.",,6308,1119,12,184,15,2,0,0,12
MATHNET-021o,MathNet,,,Brazil,Algebra,Prealgebra / Basic Algebra,,unknown,Simple Equations,,,,True,,,,proof and answer,,real,"Problem:

Amanda desenhou a seguinte figura:
![](attached_image_1.png)
Observe que a soma ao longo de qualquer lado do triângulo acima é sempre a mesma, pois, como podemos verificar,
$$
1+3+6=6+2+2=1+7+2
$$
a) Complete os números que faltam nos círculos da figura abaixo de modo que as somas ao longo de qualquer lado do quadrado sejam sempre as mesmas.
![](attached_image_2.png)
b) Encontre uma maneira de colocar os números nos círculos de maneira que as somas ao longo de qualquer linha sejam sempre as mesmas. Há mais de uma solução?
![](attached_image_3.png)
c) $\mathrm{Na}$ figura abaixo, que foi desenhada apenas parcialmente (por falta de espaço!), também vale que a soma ao longo de cada segmento é sempre a mesma. Entretanto, Amanda apagou todos os números exceto os dois números mostrados na figura (3 e 4). Sabe-se que há 40 círculos no desenho. É possível descobrir quais números estavam nos círculos pintados de cinza claro e cinza escuro?
![](attached_image_4.png)","a) The top-right corner is 2; the remaining missing numbers are 1 and 3, yielding equal sums of 10 along each side. b) Let the two top corners be x and y; all sums equal x plus nine plus y, and consistency forces y = x plus eleven, with bottom corners y minus six and x plus three, giving infinitely many solutions parameterized by x. c) Both highlighted gray circles have the value 4.",2037,332,4,22,1,0,0,0,4
MATHNET-03e9,MathNet,Autumn tournament,,Bulgaria,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,,unknown,Combinatorial Geometry > Helly's theorem | Combinatorial Geometry > Convex hulls | Miscellaneous > Constructions and loci | Miscellaneous > Angle chasing | Pigeonhole principle,,,,True,,,,proof and answer,English,real,"A set of points in the plane is called good if the distance between any two points in it is at most $1$. Let $f(n, d)$ be the largest positive integer such that in any good set of $3n$ points, there is a circle of diameter $d$, which contains at least $f(n, d)$ points. Prove that there exists a positive real $\epsilon$, such that for all $d \in (1 - \epsilon, 1)$, the value of $f(n, d)$ does not depend on $d$ and find that value as a function of $n$.
(Kristiyan Vasilev, Konstantin Garov)",n,4188,803,9,88,6,3,6,0,9
MATHNET-03nj,MathNet,Canadian Mathematical Olympiad,,Canada,Geometry,Plane Geometry,,unknown,Circles > Tangents | Quadrilaterals > Inscribed/circumscribed quadrilaterals | Triangles > Triangle trigonometry | Analytic / Coordinate Methods > Trigonometry | Miscellaneous > Angle chasing,,,,True,,,,proof only,,real,"Problem:
A circle is inscribed in a rhombus $A B C D$. Points $P$ and $Q$ vary on line segments $\overline{A B}$ and $\overline{A D}$, respectively, so that $\overline{P Q}$ is tangent to the circle. Show that for all such line segments $\overline{P Q}$, the area of triangle $C P Q$ is constant.

![](attached_image_1.png)",,2524,568,6,55,3,0,0,0,6
MATHNET-03qq,MathNet,International Mathematical Olympiad,,China,Discrete Mathematics,Combinatorics,,unknown,"Invariants / monovariants | Coloring schemes, extremal arguments",,,,True,,,,proof and answer,English,real,"Define a hook to be a figure made up of six unit squares as shown in the diagram or any of the figures obtained by applying rotations and reflections to this figure.
![](attached_image_1.png)
Determine all $m \times n$ rectangles that can be covered with hooks so that
* the rectangle is covered without gaps and without overlaps;
* no part of a hook covers area outside the rectangle.","All rectangles with positive integer side lengths such that either (i) one side is divisible by 3 and the other by 4, or (ii) one side is divisible by 12 and the other is at least 7 (the roles of the sides may be interchanged).",7877,1434,12,220,15,11,17,3,12
MATHNET-04aq,MathNet,CroatianCompetitions2011,,Croatia,Discrete Mathematics,Combinatorics,,unknown,"Invariants / monovariants | Coloring schemes, extremal arguments",,,,True,,,,proof and answer,,real,"Let $M$ and $N$ be positive integers. Consider an $N \times N$ square array consisting of $N^2$ lamps that can be in two states - on or off. At the beginning all lamps are turned off.
A *move* consists of choosing a row or a column of the array and changing the state of $M$ consecutive lamps in the chosen row or column, i.e. turning on the lamps that are turned off and vice versa.
Determine the necessary and sufficient condition for which it can be achieved that after a finite number of moves all lamps are turned on. (Tonći Kokan)",M divides N,2348,464,11,50,1,2,3,0,11
MATHNET-04u6,MathNet,Czech-Polish-Slovak Match,,Czech Republic,Geometry,Plane Geometry,,unknown,"Triangles > Triangle centers: centroid, incenter, circumcenter, Euler line, nine-point circle | Circles > Coaxal circles | Quadrilaterals > Cyclic quadrilaterals | Advanced Configurations > Isogonal/isotomic conjugates, barycentric coordinates | Miscellaneous > Angle chasing",,,,True,,,,proof only,,real,"Let $ABC$ be an acute scalene triangle. Let $D$ and $E$ be points on the sides $AB$ and $AC$, respectively, such that $BD = CE$. Denote by $O_1$ and $O_2$ the circumcentres of the triangles $ABE$ and $ACD$, respectively. Prove that the circumcircles of the triangles $ABC$, $ADE$ and $AO_1O_2$ have a common point different from $A$.",,4112,695,9,109,12,1,0,0,9
MATHNET-04xa,MathNet,Cesko-Slovacko-Poljsko,,Czech-Polish-Slovak Mathematical Match,Geometry,Plane Geometry,,unknown,Circles | Triangles > Triangle trigonometry | Miscellaneous > Angle chasing | Miscellaneous > Distance chasing,,,,True,,,,proof only,English,real,Given a circle $k$ and its chord $AB$ which is not the diameter. Let $C$ be any point inside the longer arc of $k$. We denote by $K$ and $L$ the reflections of $A$ and $B$ with respect to the axes $BC$ and $AC$. Prove that the distance of the midpoints of the line segments $KL$ and $AB$ is independent of the location of the point $C$.,,3009,537,3,79,4,0,2,0,3
MATHNET-051m,MathNet,Final Round of National Olympiad,,Estonia,Geometry,Plane Geometry,,unknown,Miscellaneous > Angle chasing | Miscellaneous > Distance chasing | Analytic / Coordinate Methods > Trigonometry | Miscellaneous > Constructions and loci,,,,True,,,,proof and answer,English,real,"Consider hexagons whose internal angles are all equal.
(i) Prove that for any such hexagon the sum of the lengths of any two neighbouring sides is equal to the sum of the lengths of their opposite sides.
(ii) Does there exist such a hexagon with side lengths 1, 2, 3, 4, 5 and 6 in some order?","Yes; for example a hexagon with all interior angles equal and side lengths in order 1, 4, 5, 2, 3, 6 exists.",4111,727,11,58,3,2,0,2,11
MATHNET-05dg,MathNet,EGMO,,European Girls' Mathematical Olympiad (EGMO),Geometry,Plane Geometry,,unknown,"Triangles > Triangle trigonometry | Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Analytic / Coordinate Methods > Vectors | Analytic / Coordinate Methods > Complex numbers in geometry | Analytic / Coordinate Methods > Trigonometry | Miscellaneous > Distance chasing | Transformations > Translation",,,,True,,,,proof only,,real,"Problem:

The side $BC$ of the triangle $ABC$ is extended beyond $C$ to $D$ so that $CD = BC$. The side $CA$ is extended beyond $A$ to $E$ so that $AE = 2CA$.
Prove that if $AD = BE$, then the triangle $ABC$ is right-angled.",,5285,1000,21,115,21,2,1,0,20
MATHNET-05rp,MathNet,Préparation Olympique Française de Mathématiques,,France,Discrete Mathematics,Combinatorics,,unknown,"Coloring schemes, extremal arguments | Counting two ways",,,,True,,,,proof and answer,,real,"Problem:

Chaque case d'un tableau de taille $8 \times 8$ peut être coloriée en blanc ou en noir, de telle sorte que chaque rectangle de taille $2 \times 3$ ou $3 \times 2$ contient deux cases noires ayant un côté en commun. Déterminer le nombre minimal de cases noires qu'il peut y avoir sur le tableau.",24,3984,646,21,24,0,0,0,0,20
MATHNET-064l,MathNet,Auswahlwettbewerb zur Internationalen Mathematik-Olympiade 2022,,Germany,Geometry,Plane Geometry,,unknown,Quadrilaterals > Cyclic quadrilaterals | Circles > Tangents | Circles > Radical axis theorem | Concurrency and Collinearity > Pappus theorem | Miscellaneous > Angle chasing,,,,True,,,,proof only,,real,"Problem:

Es sei $ABCD$ ein Parallelogramm mit $|AC| = |BC|$. Ein Punkt $P$ sei auf dem Strahl $AB$ gewählt, sodass $B$ zwischen $A$ und $P$ liegt. Der Umkreis des Dreiecks $ACD$ und die Strecke $PD$ haben außer dem Punkt $D$ noch den Punkt $Q$ gemeinsam. Der Umkreis des Dreiecks $APQ$ und die Strecke $PC$ haben außer dem Punkt $P$ noch den Punkt $R$ gemeinsam.
Beweisen Sie, dass sich die drei Geraden $CD$, $AQ$ und $BR$ in einem Punkt schneiden.",,2410,386,13,62,0,0,0,0,13
MATHNET-06au,MathNet,40th Hellenic Mathematical Olympiad,,Greece,Discrete Mathematics,Combinatorics | Graph Theory,,unknown,"Pigeonhole principle | Coloring schemes, extremal arguments",,,,True,,,,proof and answer,English,real,"A class consists of 26 students, sitting in pairs. At the second term they decide to change positions in order every two students that sat together on the first term, they are not sitting together in the second. Find the largest possible value of $N$, such that no matter how the students sat in the two terms, there is a set $S$ of $N$ students, that they didn't sit together in any of the two terms.",13,2658,471,15,8,2,2,8,0,15
