problem_id,similar_problem_id,similarity_score,rank,domain,subtopic,difficulty,difficulty_label,similar_domain,similar_subtopic,similar_difficulty,similar_difficulty_label,same_domain,same_difficulty
MATHNET-009s,MATHNET-0czk,0.8231081121526044,1,Discrete Mathematics,Combinatorics,5,Very Hard,Algebra,Algebraic Expressions,5,Very Hard,False,True
MATHNET-009s,MATHNET-0j9k,0.7936278335836798,2,Discrete Mathematics,Combinatorics,5,Very Hard,Algebra | Discrete Mathematics,Combinatorics | Intermediate Algebra,5,Very Hard,False,True
MATHNET-009s,MATHNET-0jnd,0.7785611356352434,3,Discrete Mathematics,Combinatorics,5,Very Hard,Number Theory,Divisibility / Factorization | Modular Arithmetic,4,Hard,False,False
MATHNET-009s,MATHNET-07uh,0.7656690921459006,4,Discrete Mathematics,Combinatorics,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,False,True
MATHNET-009s,MATHNET-04vh,0.7507656074584179,5,Discrete Mathematics,Combinatorics,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,False,True
MATHNET-009s,MATHNET-0ax4,0.7495748536775132,6,Discrete Mathematics,Combinatorics,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,False,True
MATHNET-009s,MATHNET-056b,0.7490180373042837,7,Discrete Mathematics,Combinatorics,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,False,True
MATHNET-009s,MATHNET-0jtz,0.7437581161492808,8,Discrete Mathematics,Combinatorics,5,Very Hard,Number Theory,Diophantine Equations | Modular Arithmetic,4,Hard,False,False
MATHNET-009s,MATHNET-02eg,0.7424784383531949,9,Discrete Mathematics,Combinatorics,5,Very Hard,Discrete Mathematics,Combinatorics,4,Hard,True,False
MATHNET-009s,MATHNET-06nj,0.7413864497914672,10,Discrete Mathematics,Combinatorics,5,Very Hard,Discrete Mathematics,Combinatorics,5,Very Hard,True,True
MATHNET-00hy,MATHNET-0dps,0.9197195164651446,1,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,5,Very Hard,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,5,Very Hard,True,True
MATHNET-00hy,MATHNET-077p,0.90136889368682,2,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,5,Very Hard,Discrete Mathematics | Number Theory,Algebraic Number Theory | Combinatorics | Divisibility / Factorization,5,Very Hard,False,True
MATHNET-00hy,MATHNET-06xj,0.8979950367394804,3,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,5,Very Hard,Algebra | Discrete Mathematics | Geometry,Algebraic Expressions | Combinatorics | Equations and Inequalities | Plane Geometry,5,Very Hard,False,True
MATHNET-00hy,MATHNET-0jgz,0.8778405979170829,4,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,5,Very Hard,Algebra | Number Theory,Algebraic Expressions | Divisibility / Factorization | Modular Arithmetic,5,Very Hard,False,True
MATHNET-00hy,MATHNET-0bzc,0.8750787808278945,5,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,False,True
MATHNET-00hy,MATHNET-0i9x,0.8691829877261716,6,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,5,Very Hard,Discrete Mathematics,Combinatorics,5,Very Hard,False,True
MATHNET-00hy,MATHNET-045v,0.855004069389553,7,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,5,Very Hard,Algebra | Geometry,Algebraic Expressions | Intermediate Algebra | Plane Geometry,5,Very Hard,False,True
MATHNET-00hy,MATHNET-06ke,0.8500703618308922,8,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,False,True
MATHNET-00hy,MATHNET-090m,0.8467048497570256,9,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,5,Very Hard,Geometry,Plane Geometry,5,Very Hard,False,True
MATHNET-00hy,MATHNET-0479,0.8375884876938012,10,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,5,Very Hard,Algebra | Discrete Mathematics,Algebraic Expressions | Combinatorics | Intermediate Algebra,5,Very Hard,False,True
MATHNET-00k4,MATHNET-0dil,0.8725946983400061,1,Geometry,Plane Geometry | Solid Geometry,4,Hard,Geometry,Plane Geometry,4,Hard,True,True
MATHNET-00k4,MATHNET-0925,0.8441738559504772,2,Geometry,Plane Geometry | Solid Geometry,4,Hard,Geometry,Plane Geometry,4,Hard,True,True
MATHNET-00k4,MATHNET-0157,0.8418108749460801,3,Geometry,Plane Geometry | Solid Geometry,4,Hard,Number Theory,Diophantine Equations | Divisibility / Factorization,3,Medium,False,False
MATHNET-00k4,MATHNET-03w7,0.8317946205259976,4,Geometry,Plane Geometry | Solid Geometry,4,Hard,Geometry,Plane Geometry,4,Hard,True,True
MATHNET-00k4,MATHNET-0dyh,0.8314288949191951,5,Geometry,Plane Geometry | Solid Geometry,4,Hard,Geometry,Plane Geometry,4,Hard,True,True
MATHNET-00k4,MATHNET-0kqa,0.826912712567123,6,Geometry,Plane Geometry | Solid Geometry,4,Hard,Geometry,Plane Geometry,4,Hard,True,True
MATHNET-00k4,MATHNET-08o1,0.8176785369790804,7,Geometry,Plane Geometry | Solid Geometry,4,Hard,Geometry,Plane Geometry,4,Hard,True,True
MATHNET-00k4,MATHNET-06nq,0.8113357302512026,8,Geometry,Plane Geometry | Solid Geometry,4,Hard,Geometry,Plane Geometry,4,Hard,True,True
MATHNET-00k4,MATHNET-0hdo,0.8056536264062328,9,Geometry,Plane Geometry | Solid Geometry,4,Hard,Algebra | Discrete Mathematics,Algebraic Expressions | Combinatorics,4,Hard,False,True
MATHNET-00k4,MATHNET-01el,0.8044237684697882,10,Geometry,Plane Geometry | Solid Geometry,4,Hard,Geometry,Plane Geometry,3,Medium,True,False
MATHNET-00rl,MATHNET-01b9,0.8789993240778043,1,Geometry,Plane Geometry,5,Very Hard,Algebra | Discrete Mathematics,Algebraic Expressions | Combinatorics,5,Very Hard,False,True
MATHNET-00rl,MATHNET-04qz,0.8415162259581193,2,Geometry,Plane Geometry,5,Very Hard,Algebra | Discrete Mathematics | Number Theory,Algebraic Expressions | Combinatorics | Diophantine Equations | Divisibility / Factorization,5,Very Hard,False,True
MATHNET-00rl,MATHNET-0jog,0.8226529016556785,3,Geometry,Plane Geometry,5,Very Hard,Number Theory,Divisibility / Factorization | Modular Arithmetic,5,Very Hard,False,True
MATHNET-00rl,MATHNET-08y2,0.8153616502673526,4,Geometry,Plane Geometry,5,Very Hard,Discrete Mathematics | Number Theory,Combinatorics | Other,5,Very Hard,False,True
MATHNET-00rl,MATHNET-047k,0.8075544684054631,5,Geometry,Plane Geometry,5,Very Hard,Algebra | Discrete Mathematics,Combinatorics | Equations and Inequalities,5,Very Hard,False,True
MATHNET-00rl,MATHNET-07x2,0.8036074913829774,6,Geometry,Plane Geometry,5,Very Hard,Discrete Mathematics | Number Theory,Combinatorics | Divisibility / Factorization,5,Very Hard,False,True
MATHNET-00rl,MATHNET-04x6,0.7975136110863635,7,Geometry,Plane Geometry,5,Very Hard,Discrete Mathematics | Geometry | Number Theory,Combinatorics | Divisibility / Factorization | Plane Geometry,5,Very Hard,False,True
MATHNET-00rl,MATHNET-07gw,0.7956796797868652,8,Geometry,Plane Geometry,5,Very Hard,Algebra | Number Theory,Abstract Algebra | Algebraic Expressions | Diophantine Equations | Divisibility / Factorization,5,Very Hard,False,True
MATHNET-00rl,MATHNET-0iic,0.7941210411274221,9,Geometry,Plane Geometry,5,Very Hard,Algebra,Algebraic Expressions | Equations and Inequalities | Prealgebra / Basic Algebra,5,Very Hard,False,True
MATHNET-00rl,MATHNET-09xc,0.793553720101342,10,Geometry,Plane Geometry,5,Very Hard,Algebra,Intermediate Algebra | Prealgebra / Basic Algebra,5,Very Hard,False,True
MATHNET-00xp,MATHNET-0f3f,0.8180792239483273,1,Discrete Mathematics,Combinatorics,3,Medium,Discrete Mathematics,Combinatorics,3,Medium,True,True
MATHNET-00xp,MATHNET-0b84,0.785420566140504,2,Discrete Mathematics,Combinatorics,3,Medium,Geometry,Plane Geometry,3,Medium,False,True
MATHNET-00xp,MATHNET-06j5,0.7762408131905069,3,Discrete Mathematics,Combinatorics,3,Medium,Discrete Mathematics,Combinatorics,3,Medium,True,True
MATHNET-00xp,MATHNET-0jxp,0.7756482440660836,4,Discrete Mathematics,Combinatorics,3,Medium,Geometry,Plane Geometry,3,Medium,False,True
MATHNET-00xp,MATHNET-0j0k,0.7464920154598746,5,Discrete Mathematics,Combinatorics,3,Medium,Discrete Mathematics,Combinatorics | Graph Theory,3,Medium,True,True
MATHNET-00xp,MATHNET-0553,0.7320810855719645,6,Discrete Mathematics,Combinatorics,3,Medium,Discrete Mathematics,Combinatorics,3,Medium,True,True
MATHNET-00xp,MATHNET-0hs2,0.7114725422791317,7,Discrete Mathematics,Combinatorics,3,Medium,Algebra,Algebraic Expressions | Equations and Inequalities,3,Medium,False,True
MATHNET-00xp,MATHNET-0f9k,0.7113638504363795,8,Discrete Mathematics,Combinatorics,3,Medium,Geometry,Plane Geometry,3,Medium,False,True
MATHNET-00xp,MATHNET-07gp,0.7087443567250538,9,Discrete Mathematics,Combinatorics,3,Medium,Algebra | Geometry,Equations and Inequalities | Plane Geometry,3,Medium,False,True
MATHNET-00xp,MATHNET-0dqf,0.703994987969338,10,Discrete Mathematics,Combinatorics,3,Medium,Algebra | Discrete Mathematics,Algebraic Expressions | Combinatorics | Equations and Inequalities,3,Medium,False,True
MATHNET-01l1,MATHNET-0fvm,0.8780358581184396,1,Discrete Mathematics,Combinatorics,3,Medium,Discrete Mathematics,Combinatorics,3,Medium,True,True
MATHNET-01l1,MATHNET-062m,0.8465728981879103,2,Discrete Mathematics,Combinatorics,3,Medium,Discrete Mathematics,Combinatorics,3,Medium,True,True
