problem_id,domain,subtopic,concepts,problem_type,length_score,equation_score,reasoning_score,proof_score,case_score,steps_score,problem_type_score,domain_score,difficulty_score
MATHNET-009s,Discrete Mathematics,Combinatorics,"Coloring schemes, extremal arguments | Invariants / monovariants",proof and answer,0.804567180031864,0.7462606837606838,0.9221668742216688,0.6109422492401216,0.552827380952381,0.8061603823685608,0.8461538461538461,1.0,0.7827247010415328
MATHNET-00hy,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,"Miscellaneous > Constructions and loci | Coloring schemes, extremal arguments | Invariants / monovariants",proof only,0.9776951672862454,0.9332264957264957,0.8549190535491905,0.9224924012158056,0.9278273809523812,0.9835369091874668,1.0,0.9459459459459459,0.9430693069306931
MATHNET-00k4,Geometry,Plane Geometry | Solid Geometry,3D Shapes | Quadrilaterals > Cyclic quadrilaterals | Miscellaneous > Angle chasing,proof only,0.5570897503983006,0.6917735042735044,0.7540473225404732,0.0,0.0,0.4843335103558152,1.0,0.8918918918918919,0.517841069821268
MATHNET-00rl,Geometry,Plane Geometry,"Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Quadrilaterals > Inscribed/circumscribed quadrilaterals | Circles > Tangents | Miscellaneous > Angle chasing",proof only,0.8555496548061604,0.8931623931623932,0.8188044831880449,0.8882978723404256,0.8757440476190478,0.6016994158258099,1.0,0.8918918918918919,0.8424521023530926
MATHNET-00xp,Discrete Mathematics,Combinatorics,"Coloring schemes, extremal arguments",proof and answer,0.4041423260754115,0.1917735042735043,0.34993773349937735,0.6109422492401216,0.0,0.4843335103558152,0.8461538461538461,1.0,0.3807702198791308
MATHNET-01l1,Discrete Mathematics,Combinatorics,Games / greedy algorithms | Invariants / monovariants,proof and answer,0.5639936271906532,0.1917735042735043,0.0,0.0,0.0,0.8061603823685608,0.8461538461538461,1.0,0.30863443487205866
MATHNET-0217,Geometry,Plane Geometry,"Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Quadrilaterals > Cyclic quadrilaterals | Circles > Tangents | Circles > Radical axis theorem | Advanced Configurations > Miquel point | Circles > Circle of Apollonius | Miscellaneous > Angle chasing",proof only,0.9734466277217206,0.985042735042735,0.975093399750934,0.7545592705167175,0.0,0.9198088157195964,1.0,0.8918918918918919,0.865725858300116
MATHNET-021o,Algebra,Prealgebra / Basic Algebra,Simple Equations,proof and answer,0.767392458842273,0.4738247863247863,0.34993773349937735,0.0,0.0,0.6016994158258099,0.8461538461538461,0.8108108108108109,0.4518130384467019
MATHNET-03e9,Discrete Mathematics | Geometry,Combinatorics | Plane Geometry,Combinatorial Geometry > Helly's theorem | Combinatorial Geometry > Convex hulls | Miscellaneous > Constructions and loci | Miscellaneous > Angle chasing | Pigeonhole principle,proof and answer,0.9330855018587361,0.9182692307692307,0.8549190535491905,0.8366261398176291,0.9002976190476191,0.8672331386086033,0.8461538461538461,0.9459459459459459,0.8957824353863959
MATHNET-03nj,Geometry,Plane Geometry,Circles > Tangents | Quadrilaterals > Inscribed/circumscribed quadrilaterals | Triangles > Triangle trigonometry | Analytic / Coordinate Methods > Trigonometry | Miscellaneous > Angle chasing,proof only,0.8343069569835369,0.8215811965811965,0.6587795765877957,0.0,0.0,0.7594264471587892,1.0,0.8918918918918919,0.622026488363122
MATHNET-03qq,Discrete Mathematics,Combinatorics,"Invariants / monovariants | Coloring schemes, extremal arguments",proof and answer,0.9840679766330324,0.9893162393162394,0.975093399750934,0.9779635258358662,0.9970238095238096,0.9198088157195964,0.8461538461538461,1.0,0.9797158287257297
MATHNET-04aq,Discrete Mathematics,Combinatorics,"Invariants / monovariants | Coloring schemes, extremal arguments",proof and answer,0.810939989378651,0.7954059829059829,0.34993773349937735,0.7545592705167175,0.783482142857143,0.9038767923526289,0.8461538461538461,1.0,0.7249582101067249
MATHNET-04u6,Geometry,Plane Geometry,"Triangles > Triangle centers: centroid, incenter, circumcenter, Euler line, nine-point circle | Circles > Coaxal circles | Quadrilaterals > Cyclic quadrilaterals | Advanced Configurations > Isogonal/isotomic conjugates, barycentric coordinates | Miscellaneous > Angle chasing",proof only,0.9298990971853426,0.9492521367521367,0.9589041095890412,0.6109422492401216,0.0,0.8672331386086033,1.0,0.8918918918918919,0.820785649993571
MATHNET-04xa,Geometry,Plane Geometry,Circles | Triangles > Triangle trigonometry | Miscellaneous > Angle chasing | Miscellaneous > Distance chasing,proof only,0.8725438130642592,0.906517094017094,0.7540473225404732,0.0,0.6845238095238095,0.4843335103558152,1.0,0.8918918918918919,0.6921370708499424
MATHNET-051m,Geometry,Plane Geometry,Miscellaneous > Angle chasing | Miscellaneous > Distance chasing | Analytic / Coordinate Methods > Trigonometry | Miscellaneous > Constructions and loci,proof and answer,0.9288369622942113,0.8338675213675214,0.6587795765877957,0.7545592705167175,0.0,0.9038767923526289,0.8461538461538461,0.8918918918918919,0.7539539668252543
MATHNET-05dg,Geometry,Plane Geometry,"Triangles > Triangle trigonometry | Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Analytic / Coordinate Methods > Vectors | Analytic / Coordinate Methods > Complex numbers in geometry | Analytic / Coordinate Methods > Trigonometry | Miscellaneous > Distance chasing | Transformations > Translation",proof only,0.9585767392458842,0.9529914529914529,0.9906600249066002,0.7545592705167175,0.552827380952381,0.9750398300584174,1.0,0.8918918918918919,0.914009258068664
MATHNET-05rp,Discrete Mathematics,Combinatorics,"Coloring schemes, extremal arguments | Counting two ways",proof and answer,0.9245884227296868,0.5096153846153847,0.0,0.0,0.0,0.9750398300584174,0.8461538461538461,1.0,0.47376880545197375
MATHNET-064l,Geometry,Plane Geometry,Quadrilaterals > Cyclic quadrilaterals | Circles > Tangents | Circles > Radical axis theorem | Concurrency and Collinearity > Pappus theorem | Miscellaneous > Angle chasing,proof only,0.8173127987254382,0.8509615384615385,0.0,0.0,0.0,0.9320233669676048,1.0,0.8918918918918919,0.5080686640092581
MATHNET-06au,Discrete Mathematics,Combinatorics | Graph Theory,"Pigeonhole principle | Coloring schemes, extremal arguments",proof and answer,0.8438661710037174,0.17254273504273504,0.5292652552926526,0.7545592705167175,0.9501488095238098,0.9500796601168348,0.8461538461538461,1.0,0.6775106082036775
MATHNET-06j5,Discrete Mathematics,Combinatorics,"Coloring schemes, extremal arguments | Counting two ways | Invariants / monovariants",proof and answer,0.20552310143388205,0.1917735042735043,0.34993773349937735,0.6109422492401216,0.0,0.6919808815719597,0.8461538461538461,1.0,0.3578179246496078
MATHNET-06op,Algebra | Discrete Mathematics | Geometry,Graph Theory | Linear Algebra | Solid Geometry,Other 3D problems | Euler characteristic: V-E+F | Vectors,proof and answer,0.9978757302177377,0.9967948717948718,0.9925280199252803,0.9908814589665654,1.0,0.9766330323951141,0.8461538461538461,0.9009009009009008,0.9944280142299947
MATHNET-0710,Geometry,Plane Geometry,Geometric Inequalities > Optimization in geometry | Analytic / Coordinate Methods > Trigonometry | Miscellaneous > Angle chasing | Triangles > Triangle trigonometry,proof and answer,0.8576739245884227,0.8247863247863247,0.7540473225404732,0.6109422492401216,0.8415178571428571,0.9670738183749337,0.8461538461538461,0.8918918918918919,0.8168959753118169
MATHNET-077h,Geometry,Plane Geometry,"Concurrency and Collinearity > Ceva's theorem | Miscellaneous > Constructions and loci | Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle",proof and answer,0.9192777482740309,0.9433760683760684,0.5292652552926526,0.952887537993921,0.9278273809523812,0.9569835369091875,0.8461538461538461,0.8918918918918919,0.8564356435643565
MATHNET-07d3,Algebra | Discrete Mathematics,Combinatorics | Linear Algebra,"Counting two ways | Coloring schemes, extremal arguments | Vectors",proof and answer,0.9670738183749337,0.9647435897435898,0.5292652552926526,0.96048632218845,0.9501488095238098,0.7594264471587892,0.8461538461538461,0.9054054054054054,0.8511636877973513
MATHNET-07nk,Discrete Mathematics,Combinatorics,"Enumeration with symmetry | Coloring schemes, extremal arguments",proof and answer,0.9607010090281466,0.6260683760683762,0.9489414694894147,0.0,0.6845238095238095,0.9941582580987786,0.8461538461538461,1.0,0.760961810466761
MATHNET-0855,Geometry,Plane Geometry,"Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Transformations > Translation | Transformations > Homothety | Miscellaneous > Constructions and loci | Miscellaneous > Angle chasing | Analytic / Coordinate Methods > Vectors",proof and answer,0.9437068507700478,0.9732905982905983,0.0,0.0,0.0,0.9320233669676048,0.8461538461538461,0.8918918918918919,0.5543268612575544
MATHNET-08m2,Discrete Mathematics,Combinatorics | Graph Theory,"Matchings, Marriage Lemma, Tutte's theorem | Coloring schemes, extremal arguments | Counting two ways",proof and answer,0.8449283058948486,0.8338675213675214,0.5292652552926526,0.8366261398176291,0.0,0.9500796601168348,0.8461538461538461,1.0,0.7254725472547255
MATHNET-08yo,Discrete Mathematics,Combinatorics,Invariants / monovariants | Games / greedy algorithms,proof and answer,0.7419012214551248,0.9391025641025641,0.0,0.6109422492401216,0.552827380952381,0.8374933616569304,0.8461538461538461,1.0,0.6157258583001158
MATHNET-090w,Geometry,Plane Geometry,"Circles > Tangents | Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Miscellaneous > Angle chasing",proof only,0.4843335103558152,0.5261752136752137,0.0,0.0,0.0,0.4843335103558152,1.0,0.8918918918918919,0.3146136042175646
MATHNET-090z,Geometry,Plane Geometry,Miscellaneous > Angle chasing | Analytic / Coordinate Methods > Cartesian coordinates | Analytic / Coordinate Methods > Vectors | Quadrilaterals,proof and answer,0.9830058417419013,0.9780982905982907,0.9221668742216688,0.9832826747720366,0.9903273809523808,0.9883165161975571,0.8461538461538461,0.8918918918918919,0.9723222322232227
MATHNET-095q,Geometry,Solid Geometry,3D Shapes | Volume,proof and answer,0.9256505576208178,0.8509615384615385,0.0,0.0,0.0,0.9883165161975571,0.8461538461538461,0.8918918918918919,0.5346856114182846
MATHNET-09et,Algebra | Discrete Mathematics,Algebraic Expressions | Combinatorics | Graph Theory,"Generating functions | Recursion, bijection | Sequences and Series > Recurrence relations",proof and answer,0.8810408921933085,0.844551282051282,0.7540473225404732,0.0,0.552827380952381,0.9500796601168348,0.8461538461538461,0.9054054054054054,0.7219043332904719
MATHNET-09tk,Geometry,Plane Geometry,Circles > Tangents | Quadrilaterals > Cyclic quadrilaterals | Miscellaneous > Angle chasing,proof only,0.8141263940520446,0.8092948717948718,0.0,0.0,0.0,0.8900690387679234,1.0,0.8918918918918919,0.49469589816124465
MATHNET-0a6c,Algebra | Number Theory,Algebraic Expressions | Divisibility / Factorization,Factorization techniques | Sequences and Series > Sums and products,proof and answer,0.9660116834838024,0.9391025641025641,0.7540473225404732,0.6109422492401216,0.9002976190476191,0.9941582580987786,0.8461538461538461,0.8783783783783784,0.8718014658608716
MATHNET-0a7r,Geometry,Plane Geometry,Miscellaneous > Angle chasing | Analytic / Coordinate Methods > Cartesian coordinates | Miscellaneous > Constructions and loci,proof only,0.43972384492830585,0.576388888888889,0.34993773349937735,0.0,0.0,0.6016994158258099,1.0,0.8918918918918919,0.3993506493506494
MATHNET-0akr,Geometry,Plane Geometry,"Advanced Configurations > Simson line | Concurrency and Collinearity > Menelaus' theorem | Quadrilaterals > Cyclic quadrilaterals | Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Miscellaneous > Angle chasing",proof only,0.9490175252257037,0.9353632478632479,0.9682440846824408,0.8366261398176291,0.0,0.9405204460966543,1.0,0.8918918918918919,0.8623505207663625
MATHNET-0b1l,Discrete Mathematics,Combinatorics,"Invariants / monovariants | Coloring schemes, extremal arguments | Counting two ways",proof and answer,0.6866702071163038,0.33653846153846156,0.0,0.7545592705167175,0.0,0.8374933616569304,0.8461538461538461,1.0,0.46402854571171415
MATHNET-0bzc,Geometry,Plane Geometry,Quadrilaterals > Quadrilaterals with perpendicular diagonals | Quadrilaterals > Cyclic quadrilaterals | Circles > Radical axis theorem | Concurrency and Collinearity > Desargues theorem | Analytic / Coordinate Methods > Trigonometry | Miscellaneous > Angle chasing,proof only,0.9787573021773766,0.9839743589743589,0.9489414694894147,0.9878419452887538,0.9278273809523812,0.9569835369091875,1.0,0.8918918918918919,0.9756975697569756
MATHNET-0cm5,Geometry,Plane Geometry,"Circles > Tangents | Circles > Radical axis theorem | Advanced Configurations > Brocard point, symmedians | Advanced Configurations > Isogonal/isotomic conjugates, barycentric coordinates | Transformations > Spiral similarity | Quadrilaterals > Cyclic quadrilaterals | Miscellaneous > Angle chasing",proof only,0.9723844928305896,0.9818376068376068,0.985678704856787,0.8366261398176291,0.552827380952381,0.960169941582581,1.0,0.8918918918918919,0.9301465860871805
MATHNET-0cnn,Geometry,Plane Geometry,"Advanced Configurations > Isogonal/isotomic conjugates, barycentric coordinates | Quadrilaterals > Cyclic quadrilaterals | Miscellaneous > Angle chasing",proof only,0.7291556027615508,0.8247863247863247,0.8549190535491905,0.0,0.0,0.8061603823685608,1.0,0.8918918918918919,0.6433071878616435
MATHNET-0d1o,Discrete Mathematics,Combinatorics,Enumeration with symmetry,proof and answer,0.651619755708975,0.7051282051282051,0.6587795765877957,0.0,0.0,0.9038767923526289,0.8461538461538461,1.0,0.5703998971325704
MATHNET-0dnv,Discrete Mathematics,Combinatorics,Invariants / monovariants | Induction / smoothing,proof and answer,0.6771109930961231,0.560363247863248,0.0,0.0,0.0,0.9569835369091875,0.8461538461538461,1.0,0.4208242252796707
MATHNET-0dq2,Geometry,Plane Geometry,"Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Advanced Configurations > Brocard point, symmedians | Quadrilaterals > Cyclic quadrilaterals | Triangles > Triangle trigonometry | Miscellaneous > Angle chasing",proof only,0.7907594264471589,0.8584401709401709,0.7540473225404732,0.6109422492401216,0.0,0.6919808815719597,1.0,0.8918918918918919,0.7071814324289573
MATHNET-0dri,Discrete Mathematics,Combinatorics,"Coloring schemes, extremal arguments | Counting two ways | Invariants / monovariants",proof and answer,0.6048858204992034,0.49198717948717957,0.8188044831880449,0.9224924012158056,0.0,0.6919808815719597,0.8461538461538461,1.0,0.645075221807895
MATHNET-0dxz,Geometry,Plane Geometry,"Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Quadrilaterals > Cyclic quadrilaterals | Analytic / Coordinate Methods > Vectors | Miscellaneous > Angle chasing",proof only,0.98194370685077,0.9780982905982907,0.9221668742216688,0.6109422492401216,0.552827380952381,0.8900690387679234,1.0,0.8918918918918919,0.8815417256011319
MATHNET-0et0,Geometry,Plane Geometry,Miscellaneous > Angle chasing | Analytic / Coordinate Methods > Trigonometry | Triangles > Triangle trigonometry | Quadrilaterals > Inscribed/circumscribed quadrilaterals,proof only,0.9033457249070632,0.9294871794871795,0.7540473225404732,0.0,0.6845238095238095,0.9405204460966543,1.0,0.8918918918918919,0.7589687540182593
MATHNET-0eu5,Discrete Mathematics,Combinatorics,"Recursion, bijection | Induction / smoothing",proof and answer,0.8757302177376527,0.9118589743589743,0.9371108343711084,0.9224924012158056,0.9278273809523812,0.8900690387679234,0.8461538461538461,1.0,0.9150379323646652
MATHNET-0f3f,Discrete Mathematics,Combinatorics,"Coloring schemes, extremal arguments | Counting two ways",proof and answer,0.38077535847052574,0.11591880341880342,0.34993773349937735,0.6109422492401216,0.0,0.6919808815719597,0.8461538461538461,1.0,0.3865565127941366
MATHNET-0fg1,Geometry,Plane Geometry,"Triangles > Triangle centers: centroid, incenter, circumcenter, orthocenter, Euler line, nine-point circle | Circles > Tangents | Miscellaneous > Constructions and loci | Miscellaneous > Angle chasing",proof only,0.9118428040361126,0.9471153846153846,0.0,0.0,0.0,0.9405204460966543,1.0,0.8918918918918919,0.5493442201362994
