problem_id,similar_problem_id,similarity_score
MATHNET-0002,MATHNET-0bw4 | MATHNET-0beo | MATHNET-0bpv | MATHNET-0c4x | MATHNET-0caz | MATHNET-0gfv | MATHNET-0bdr | MATHNET-0bl4 | MATHNET-0gfg | MATHNET-0l7k,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
MATHNET-000s,MATHNET-009e | MATHNET-02n9 | MATHNET-04up | MATHNET-0c1k | MATHNET-04hy | MATHNET-09jj | MATHNET-0djw | MATHNET-0698 | MATHNET-0f78 | MATHNET-0dd1,1.0000 | 1.0000 | 0.9737 | 0.9737 | 0.9737 | 0.9737 | 0.9737 | 0.9737 | 0.9737 | 0.9737
MATHNET-000t,MATHNET-04st | MATHNET-0ar9 | MATHNET-0490 | MATHNET-0lad | MATHNET-04ch | MATHNET-0au5 | MATHNET-0a32 | MATHNET-0gm2 | MATHNET-0cy4 | MATHNET-0anq,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
MATHNET-001e,MATHNET-04hy | MATHNET-0f78 | MATHNET-04up | MATHNET-0eyj | MATHNET-0dd1 | MATHNET-0f9f | MATHNET-04iq | MATHNET-0gme | MATHNET-009e | MATHNET-02n9,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.9737 | 0.9737
MATHNET-002s,MATHNET-0cih | MATHNET-03b4 | MATHNET-0gfz | MATHNET-0044 | MATHNET-0f27 | MATHNET-09pt | MATHNET-0f2k | MATHNET-0f03 | MATHNET-0dgr | MATHNET-04uw,1.0000 | 1.0000 | 0.9610 | 0.9569 | 0.9487 | 0.9487 | 0.9487 | 0.9487 | 0.9487 | 0.9487
MATHNET-003j,MATHNET-0f6k | MATHNET-09k0 | MATHNET-0dgx | MATHNET-09ka | MATHNET-01t8 | MATHNET-0c9v | MATHNET-09jr | MATHNET-04e2 | MATHNET-0eyx | MATHNET-0c1x,1.0000 | 0.9867 | 0.9867 | 0.9867 | 0.9867 | 0.9867 | 0.9867 | 0.9867 | 0.9867 | 0.9867
MATHNET-003m,MATHNET-0041 | MATHNET-004m | MATHNET-049x | MATHNET-08ic | MATHNET-0c9x | MATHNET-0atn | MATHNET-04dz | MATHNET-00cj | MATHNET-008t | MATHNET-0bqa,0.9867 | 0.9867 | 0.9867 | 0.9867 | 0.9867 | 0.9867 | 0.9867 | 0.9867 | 0.9867 | 0.9867
MATHNET-0041,MATHNET-0bqa | MATHNET-049x | MATHNET-08ic | MATHNET-004m | MATHNET-0c9x | MATHNET-008t | MATHNET-0atn | MATHNET-04dz | MATHNET-0c4k | MATHNET-00cj,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
MATHNET-0044,MATHNET-0gfz | MATHNET-0dgx | MATHNET-0dgr | MATHNET-09jr | MATHNET-09ka | MATHNET-0f03 | MATHNET-09k0 | MATHNET-0cie | MATHNET-0f1q | MATHNET-0gg9,0.9955 | 0.9911 | 0.9911 | 0.9911 | 0.9911 | 0.9911 | 0.9911 | 0.9911 | 0.9911 | 0.9911
MATHNET-004m,MATHNET-0041 | MATHNET-049x | MATHNET-0bqa | MATHNET-08ic | MATHNET-0c9x | MATHNET-0atn | MATHNET-00cj | MATHNET-04dz | MATHNET-0c4k | MATHNET-008t,1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
